State,Average Income,Year,,,,,,,,,,,,
Oklahoma,200152.9,2020,,,,,,,,,,,,
Oregon,241790.325,2020,,,,,,,,,,,,
Pennsylvania,788281.45,2020,,,,,,,,,,,,
Rhode Island,65709.025,2020,,,,,,,,,,,,
South Carolina,251946.15,2020,,,,,,,,,,,,
South Dakota,53621.5,2020,,,,,,,,,,,,
Tennessee,362278.175,2020,,,,,,,,,,,,
Texas,1624525.775,2020,,,,,,,,,,,,
Utah,171385.425,2020,,,,,,,,,,,,
Vermont,38097.675,2020,,,,,,,,,,,,
Virginia,536817.2,2020,,,,,,,,,,,,
Washington,527581.825,2020,,,,,,,,,,,,
West Virginia,80971.175,2020,,,,,,,,,,,,
Wisconsin,329622.825,2020,,,,,,,,,,,,
Wyoming,37973.975,2020,,,,,,,,,,,,
Alabama,250828.8,2021,,,,,,,,,,,,
Alaska,48219.25,2021,,,,,,,,,,,,
Arizona,403739.325,2021,,,,,,,,,,,,
Arkansas,153185.775,2021,,,,,,,,,,,,
California,3006183.925,2021,,,,,,,,,,,,
Colorado,410948.225,2021,,,,,,,,,,,,
Connecticut,300323.475,2021,,,,,,,,,,,,
Delaware,60133.625,2021,,,,,,,,,,,,
District of Columbia,64644.675,2021,,,,,,,,,,,,
Florida,1356318.6,2021,,,,,,,,,,,,
Georgia,602464.075,2021,,,,,,,,,,,,
Hawaii,87857.65,2021,,,,,,,,,,,,
Idaho,99549.575,2021,,,,,,,,,,,,
Illinois,852082.075,2021,,,,,,,,,,,,
Indiana,384520.025,2021,,,,,,,,,,,,
Iowa,182524.525,2021,,,,,,,,,,,,
Kansas,172918.325,2021,,,,,,,,,,,,
Kentucky,231179.75,2021,,,,,,,,,,,,
Louisiana,250700.725,2021,,,,,,,,,,,,
Maine,80254.425,2021,,,,,,,,,,,,
Maryland,430429.325,2021,,,,,,,,,,,,
Massachusetts,584291.075,2021,,,,,,,,,,,,
Michigan,567807.1,2021,,,,,,,,,,,,
Minnesota,378284.65,2021,,,,,,,,,,,,
Mississippi,135347.375,2021,,,,,,,,,,,,
Missouri,341253.925,2021,,,,,,,,,,,,
Montana,62886.7,2021,,,,,,,,,,,,
Nebraska,120188.475,2021,,,,,,,,,,,,
Nevada,189308.25,2021,,,,,,,,,,,,
New Hampshire,101674.475,2021,,,,,,,,,,,,
New Jersey,713720.6,2021,,,,,,,,,,,,
New Mexico,106451.175,2021,,,,,,,,,,,,
New York,1524128.55,2021,,,,,,,,,,,,
North Carolina,592695.025,2021,,,,,,,,,,,,
North Dakota,50002.85,2021,,,,,,,,,,,,
Ohio,670035.55,2021,,,,,,,,,,,,
Oklahoma,214760.675,2021,,,,,,,,,,,,
Oregon,261546.5,2021,,,,,,,,,,,,
Pennsylvania,833314.475,2021,,,,,,,,,,,,
Rhode Island,70531.475,2021,,,,,,,,,,,,
South Carolina,272339.55,2021,,,,,,,,,,,,
South Dakota,57717.75,2021,,,,,,,,,,,,
Tennessee,394520.35,2021,,,,,,,,,,,,
Texas,1767681.7,2021,,,,,,,,,,,,
Utah,186990.55,2021,,,,,,,,,,,,
Vermont,39949.4,2021,,,,,,,,,,,,
Virginia,573027.9,2021,,,,,,,,,,,,
Washington,570920.825,2021,,,,,,,,,,,,
West Virginia,86451.775,2021,,,,,,,,,,,,
Wisconsin,351551.3,2021,,,,,,,,,,,,
Wyoming,40322.825,2021,,,,,,,,,,,,
Alabama,256949.425,2022,,,,,,,,,,,,
Alaska,50557.8,2022,,,,,,,,,,,,
Arizona,417020.85,2022,,,,,,,,,,,,
Arkansas,157724.925,2022,,,,,,,,,,,,
California,3018471.15,2022,,,,,,,,,,,,
Colorado,433128.45,2022,,,,,,,,,,,,
Connecticut,308126.35,2022,,,,,,,,,,,,
Delaware,62515.9,2022,,,,,,,,,,,,
District of Columbia,64982.3,2022,,,,,,,,,,,,
Florida,1414698.375,2022,,,,,,,,,,,,
Georgia,623447.025,2022,,,,,,,,,,,,
Hawaii,88103.625,2022,,,,,,,,,,,,
Idaho,105748.45,2022,,,,,,,,,,,,
Illinois,865923.3,2022,,,,,,,,,,,,
Indiana,395838.675,2022,,,,,,,,,,,,
Iowa,188525.675,2022,,,,,,,,,,,,
Kansas,176675.65,2022,,,,,,,,,,,,
Kentucky,235132,2022,,,,,,,,,,,,
Louisiana,250727.75,2022,,,,,,,,,,,,
Maine,82376.975,2022,,,,,,,,,,,,
Maryland,436027.9,2022,,,,,,,,,,,,
Massachusetts,593082.8,2022,,,,,,,,,,,,
Michigan,570065.125,2022,,,,,,,,,,,,
Minnesota,388828.225,2022,,,,,,,,,,,,
Mississippi,135972.275,2022,,,,,,,,,,,,
Missouri,349369.475,2022,,,,,,,,,,,,
Montana,64811.075,2022,,,,,,,,,,,,
Nebraska,124611.1,2022,,,,,,,,,,,,
Nevada,194740.925,2022,,,,,,,,,,,,
New Hampshire,104172.65,2022,,,,,,,,,,,,
New Jersey,728900.175,2022,,,,,,,,,,,,
New Mexico,108836.325,2022,,,,,,,,,,,,
New York,1536576.775,2022,,,,,,,,,,,,
North Carolina,614297.175,2022,,,,,,,,,,,,
North Dakota,51574.5,2022,,,,,,,,,,,,
Ohio,680435.425,2022,,,,,,,,,,,,
Oklahoma,221080.6,2022,,,,,,,,,,,,
Oregon,266139.15,2022,,,,,,,,,,,,
Pennsylvania,845346.75,2022,,,,,,,,,,,,
Rhode Island,71504.85,2022,,,,,,,,,,,,
South Carolina,281668.125,2022,,,,,,,,,,,,
South Dakota,59871.6,2022,,,,,,,,,,,,
Tennessee,410944.825,2022,,,,,,,,,,,,
Texas,1861395.875,2022,,,,,,,,,,,,
Utah,195834.2,2022,,,,,,,,,,,,
Vermont,40898.425,2022,,,,,,,,,,,,
Virginia,592315.125,2022,,,,,,,,,,,,
Washington,589368.075,2022,,,,,,,,,,,,
West Virginia,87282,2022,,,,,,,,,,,,
Wisconsin,360684.125,2022,,,,,,,,,,,,
Wyoming,41476.7,2022,,,,,,,,,,,,
