State,Average Income,Year,,,,,,,,,,,,
Minnesota,257164.225,2012,,,,,,,,,,,,
Mississippi,100377.2,2012,,,,,,,,,,,,
Missouri,242981.375,2012,,,,,,,,,,,,
Montana,40919.725,2012,,,,,,,,,,,,
Nebraska,86754.25,2012,,,,,,,,,,,,
Nevada,109347.4,2012,,,,,,,,,,,,
New Hampshire,67855.225,2012,,,,,,,,,,,,
New Jersey,487527.65,2012,,,,,,,,,,,,
New Mexico,74725.35,2012,,,,,,,,,,,,
New York,1049158.2,2012,,,,,,,,,,,,
North Carolina,380160.55,2012,,,,,,,,,,,,
North Dakota,39796.225,2012,,,,,,,,,,,,
Ohio,471703.85,2012,,,,,,,,,,,,
Oklahoma,161128.375,2012,,,,,,,,,,,,
Oregon,153547.95,2012,,,,,,,,,,,,
Pennsylvania,587665.975,2012,,,,,,,,,,,,
Rhode Island,48501.725,2012,,,,,,,,,,,,
South Carolina,169185.15,2012,,,,,,,,,,,,
South Dakota,37844.2,2012,,,,,,,,,,,,
Tennessee,254470.65,2012,,,,,,,,,,,,
Texas,1152725.225,2012,,,,,,,,,,,,
Utah,102990.775,2012,,,,,,,,,,,,
Vermont,28554.4,2012,,,,,,,,,,,,
Virginia,404179.725,2012,,,,,,,,,,,,
Washington,326698.85,2012,,,,,,,,,,,,
West Virginia,65898.525,2012,,,,,,,,,,,,
Wisconsin,246242.25,2012,,,,,,,,,,,,
Wyoming,31199.65,2012,,,,,,,,,,,,
Alabama,175185.275,2013,,,,,,,,,,,,
Alaska,38978.025,2013,,,,,,,,,,,,
Arizona,243752.325,2013,,,,,,,,,,,,
Arkansas,108367.775,2013,,,,,,,,,,,,
California,1857200.85,2013,,,,,,,,,,,,
Colorado,249512.675,2013,,,,,,,,,,,,
Connecticut,226175.85,2013,,,,,,,,,,,,
Delaware,41100.325,2013,,,,,,,,,,,,
District of Columbia,43697.325,2013,,,,,,,,,,,,
Florida,802975.725,2013,,,,,,,,,,,,
Georgia,377202.225,2013,,,,,,,,,,,,
Hawaii,62521.25,2013,,,,,,,,,,,,
Idaho,58403.725,2013,,,,,,,,,,,,
Illinois,609778.575,2013,,,,,,,,,,,,
Indiana,261702.3,2013,,,,,,,,,,,,
Iowa,134757.825,2013,,,,,,,,,,,,
Kansas,133979.9,2013,,,,,,,,,,,,
Kentucky,159224.775,2013,,,,,,,,,,,,
Louisiana,191497.275,2013,,,,,,,,,,,,
Maine,53742,2013,,,,,,,,,,,,
Maryland,311524.025,2013,,,,,,,,,,,,
Massachusetts,382611.075,2013,,,,,,,,,,,,
Michigan,393576.75,2013,,,,,,,,,,,,
Minnesota,259781.775,2013,,,,,,,,,,,,
Mississippi,102317.375,2013,,,,,,,,,,,,
Missouri,245199.95,2013,,,,,,,,,,,,
Montana,41322.475,2013,,,,,,,,,,,,
Nebraska,87398.7,2013,,,,,,,,,,,,
Nevada,109870.525,2013,,,,,,,,,,,,
New Hampshire,67703.7,2013,,,,,,,,,,,,
New Jersey,492488.225,2013,,,,,,,,,,,,
New Mexico,73561.775,2013,,,,,,,,,,,,
New York,1062135.425,2013,,,,,,,,,,,,
North Carolina,376392.4,2013,,,,,,,,,,,,
North Dakota,39933.55,2013,,,,,,,,,,,,
Ohio,479088.725,2013,,,,,,,,,,,,
Oklahoma,169382.625,2013,,,,,,,,,,,,
Oregon,156130.025,2013,,,,,,,,,,,,
Pennsylvania,593682.1,2013,,,,,,,,,,,,
Rhode Island,48544.725,2013,,,,,,,,,,,,
South Carolina,171617.225,2013,,,,,,,,,,,,
South Dakota,38365.9,2013,,,,,,,,,,,,
Tennessee,256753.85,2013,,,,,,,,,,,,
Texas,1184840.5,2013,,,,,,,,,,,,
Utah,106176.2,2013,,,,,,,,,,,,
Vermont,28964.35,2013,,,,,,,,,,,,
